id,age,household_size,education_years,commute_min,rent,savings,power_backup
49,44,3,12,13,28850.0,272000.0,Yes
50,43,4,15,31,43450.0,397000.0,Yes
51,70,3,16,36,77450.0,1003000.0,No
52,39,3,14,49,41050.0,567000.0,No
53,30,4,16,33,42200.0,,Yes
54,31,4,12,24,32500.0,178000.0,Yes
55,45,4,11,24,52300.0,145000.0,No
56,51,3,18,10,32700.0,939000.0,No
57,38,3,13,25,44500.0,185000.0,Yes
58,43,4,13,7,33600.0,188000.0,No
59,54,5,11,56,,262000.0,Yes
60,36,2,14,44,25250.0,141000.0,No
61,69,2,18,20,58050.0,939000.0,Yes
62,32,4,13,47,18150.0,59000.0,No
63,67,6,18,91,,536000.0,Yes
64,64,4,15,33,27200.0,569000.0,Yes
65,68,2,19,64,,1703000.0,No
66,61,2,17,20,40350.0,620000.0,No
67,47,3,17,40,,,No
68,51,7,11,42,,176000.0,Yes
69,32,2,10,30,18950.0,108000.0,No
70,38,3,15,45,20150.0,143000.0,No
71,44,3,14,16,,735000.0,No
72,68,3,14,26,58850.0,646000.0,No
73,60,4,15,48,62000.0,2494000.0,No
74,49,5,16,63,41050.0,250000.0,No
75,51,3,17,34,22300.0,256000.0,Yes
76,43,7,14,64,,141000.0,No
77,42,6,14,51,,,No
78,66,3,17,32,64100.0,1274000.0,
79,22,6,11,22,,,No
80,37,4,17,81,18850.0,235000.0,No
81,42,4,13,22,27350.0,334000.0,No
82,56,6,15,16,71300.0,315000.0,Yes
83,42,5,13,19,,210000.0,Yes
84,37,6,16,29,37850.0,121000.0,No
85,25,6,11,60,22850.0,,No
86,34,3,14,22,,483000.0,No
87,27,4,12,25,33600.0,98000.0,No
88,56,3,14,25,33900.0,270000.0,No
89,42,3,9,22,,199000.0,Yes
90,33,3,12,27,,419000.0,
91,48,4,17,42,38150.0,327000.0,No
92,46,3,12,31,,607000.0,Yes
93,45,2,8,21,19450.0,,No
94,50,5,15,37,68100.0,275000.0,Yes
95,52,4,12,22,,535000.0,No
96,31,3,9,17,22100.0,140000.0,No
97,29,7,11,9,47800.0,,No
98,57,1,12,54,20200.0,1434000.0,Yes
99,69,7,18,58,95150.0,604000.0,No
100,48,4,14,54,47600.0,318000.0,No
101,44,7,15,50,65000.0,160000.0,Yes
102,52,4,13,29,,204000.0,Yes
103,23,1,11,75,10500.0,145000.0,No
104,40,4,12,24,,381000.0,Yes
105,39,5,13,51,39550.0,158000.0,No
106,42,7,9,45,,221000.0,No
107,58,4,15,29,44650.0,295000.0,No
108,46,2,16,70,33550.0,458000.0,Yes
109,63,4,19,59,60700.0,1101000.0,Yes
110,45,6,15,45,39850.0,289000.0,Yes
111,23,3,12,34,24550.0,,Yes
112,55,2,11,23,19950.0,142000.0,No
113,61,7,15,25,49350.0,333000.0,Yes
114,50,3,10,13,19700.0,453000.0,Yes
115,67,7,14,10,,608000.0,Yes
116,42,4,13,20,38850.0,205000.0,No
117,61,4,15,51,,1131000.0,Yes
118,22,4,13,22,,,No
119,23,3,11,43,24850.0,127000.0,No
120,60,2,12,16,58100.0,1348000.0,No
121,64,5,14,34,72250.0,1178000.0,No
122,47,7,12,69,,497000.0,Yes
123,58,4,17,22,33000.0,275000.0,Yes
124,38,2,10,15,9950.0,156000.0,Yes
125,57,4,14,46,,463000.0,No
126,46,4,15,45,,459000.0,No
127,36,4,11,69,23300.0,,No
128,26,4,12,44,41500.0,,Yes
129,30,3,12,31,,90000.0,No
130,66,2,15,23,,798000.0,No
131,43,7,10,55,,,No
132,70,2,16,5,69400.0,1506000.0,No
133,39,6,12,8,30450.0,,Yes
134,24,7,12,37,18100.0,83000.0,No
135,34,6,9,53,27650.0,,Yes
136,39,2,14,29,39650.0,171000.0,Yes
137,56,3,16,35,76700.0,739000.0,Yes
138,57,5,17,37,52350.0,542000.0,Yes
139,58,5,14,59,,193000.0,No
140,37,3,11,49,,,No
141,40,7,15,42,,172000.0,No
142,49,1,12,20,21500.0,439000.0,Yes
143,51,4,12,50,57900.0,125000.0,Yes
144,42,4,13,48,26100.0,577000.0,No
145,31,2,10,33,,236000.0,No
146,59,5,18,49,43650.0,232000.0,No
147,47,4,16,16,,529000.0,No
148,68,1,11,38,,369000.0,No
149,68,1,11,50,,1850000.0,No
150,65,2,14,38,,1903000.0,
151,69,5,17,64,,1954000.0,No
152,52,4,16,19,,197000.0,Yes
153,36,3,15,29,34600.0,182000.0,No
154,29,5,12,56,20600.0,,No
155,27,5,10,43,17650.0,,No
156,68,3,17,19,72900.0,2850000.0,Yes
157,35,3,10,24,22600.0,162000.0,No
158,23,3,10,5,7550.0,81000.0,No
159,23,5,8,28,17800.0,,Yes
160,36,3,11,65,27900.0,105000.0,Yes
161,69,4,15,50,88750.0,536000.0,
162,35,5,11,9,35450.0,165000.0,Yes
163,27,4,15,27,29600.0,114000.0,Yes
164,54,5,15,15,,283000.0,No
165,24,7,12,58,41850.0,,Yes
166,45,2,14,19,40200.0,355000.0,No
167,26,3,15,96,16850.0,135000.0,No
168,26,3,10,14,18400.0,,Yes
169,39,4,14,18,20350.0,161000.0,No
170,22,2,9,18,20650.0,,Yes
171,63,5,15,42,,415000.0,Yes
172,51,5,15,45,34100.0,276000.0,No
173,67,4,13,14,,401000.0,No
174,46,4,13,60,25000.0,239000.0,No
175,49,5,14,33,,357000.0,No
176,51,4,15,37,41250.0,129000.0,No
177,44,1,13,34,22600.0,381000.0,Yes
178,49,3,20,11,,748000.0,
179,50,4,18,29,55500.0,424000.0,No
180,65,3,11,6,,377000.0,No
181,36,2,13,37,29250.0,370000.0,No
182,67,3,17,35,49500.0,1501000.0,No
183,30,3,13,43,19500.0,92000.0,No
184,31,1,15,37,,301000.0,No
185,34,4,7,70,24050.0,116000.0,Yes
186,68,5,14,29,62050.0,184000.0,Yes
187,33,1,15,34,16600.0,305000.0,No
188,60,4,17,70,54200.0,267000.0,No
189,50,5,19,40,,399000.0,No
190,53,2,18,36,49000.0,269000.0,Yes
191,25,5,9,53,,96000.0,No
192,54,5,16,20,49200.0,1377000.0,No
193,25,4,11,24,26350.0,,No
194,48,3,14,29,,196000.0,No
195,60,4,15,39,55500.0,207000.0,Yes
196,66,4,15,43,,362000.0,Yes
197,70,4,15,27,,1335000.0,No
198,33,4,14,65,37300.0,,Yes
199,59,5,14,16,,153000.0,No
200,51,3,15,31,32050.0,349000.0,No
201,57,2,16,12,39400.0,501000.0,Yes
202,61,5,14,17,,598000.0,Yes
203,45,4,13,15,38550.0,182000.0,No
204,28,3,14,35,32550.0,185000.0,Yes
205,60,7,12,45,,260000.0,No
206,52,2,13,41,35000.0,161000.0,No
207,28,2,9,47,18700.0,67000.0,No
208,41,4,14,44,,452000.0,No
209,29,4,17,43,,204000.0,Yes
210,59,7,12,18,90000.0,294000.0,No
211,38,1,15,47,32350.0,305000.0,No
212,25,2,14,10,16450.0,61000.0,Yes
213,35,1,8,62,,144000.0,Yes
214,51,4,11,103,45750.0,336000.0,Yes
215,50,2,14,16,32250.0,613000.0,No
216,63,1,13,68,14700.0,1301000.0,Yes
217,39,2,13,34,41450.0,304000.0,Yes
218,52,4,17,41,,586000.0,No
219,68,1,17,96,47900.0,870000.0,No
220,37,3,12,28,27550.0,408000.0,No
221,23,4,12,49,,,Yes
222,54,3,15,35,,549000.0,
223,51,3,12,63,29000.0,285000.0,No
224,38,2,12,25,,446000.0,No
225,49,6,15,54,51650.0,235000.0,No
226,54,2,14,34,37650.0,730000.0,Yes
227,62,5,16,62,,354000.0,No
228,28,4,14,14,28350.0,257000.0,Yes
229,45,5,9,40,30300.0,276000.0,No
230,35,3,15,38,33000.0,510000.0,No
231,38,2,9,69,27600.0,155000.0,No
232,23,7,11,36,38950.0,99000.0,No
233,42,4,14,51,,348000.0,No
234,26,4,11,15,,190000.0,No
235,67,5,16,33,59300.0,972000.0,No
236,49,7,13,22,96400.0,219000.0,Yes
237,42,3,12,32,37150.0,446000.0,No
238,33,3,12,16,33900.0,,No
239,68,1,16,42,,954000.0,No
240,47,1,12,46,27150.0,232000.0,Yes
241,70,3,17,32,87250.0,1929000.0,No
242,54,3,13,27,,368000.0,No
243,70,5,15,33,,1037000.0,No
244,65,4,15,47,,695000.0,Yes
245,58,2,16,40,97450.0,1234000.0,No
246,39,5,12,34,35100.0,255000.0,No
247,60,4,16,17,,566000.0,No
248,37,4,16,52,,298000.0,Yes
249,64,3,14,45,40100.0,660000.0,No
250,37,2,15,28,,213000.0,No
251,25,2,9,46,13950.0,146000.0,Yes
252,27,4,13,16,34900.0,290000.0,Yes
253,44,2,13,20,22200.0,506000.0,No
254,54,7,19,71,,241000.0,No
255,36,1,12,53,14800.0,387000.0,No
256,62,2,14,22,41050.0,444000.0,Yes
257,34,4,14,58,28450.0,,No
258,45,5,14,32,27500.0,139000.0,Yes
259,38,3,13,23,46450.0,235000.0,No
260,49,2,9,87,,129000.0,Yes
261,31,4,13,18,26600.0,158000.0,No
262,68,3,16,43,,1673000.0,No
263,67,6,16,16,54650.0,547000.0,Yes
264,56,4,13,20,30200.0,492000.0,No
265,48,4,16,48,,296000.0,No
266,58,3,15,16,,149000.0,No
267,44,5,13,31,28050.0,240000.0,Yes
268,65,5,12,9,114250.0,299000.0,Yes
269,25,5,11,49,26250.0,100000.0,No
270,32,2,10,38,21350.0,53000.0,Yes
271,44,2,16,13,,421000.0,No
272,53,4,15,27,36050.0,528000.0,Yes
273,56,1,13,23,29900.0,1226000.0,No
274,57,7,14,21,,330000.0,No
275,68,4,19,34,66400.0,460000.0,No
276,63,3,16,24,,731000.0,No
277,66,4,16,59,88150.0,,No
278,38,7,16,33,51350.0,,Yes
279,56,6,15,14,57700.0,394000.0,
280,55,5,16,10,50250.0,550000.0,No
281,51,4,13,15,30750.0,359000.0,No
282,51,4,13,35,29100.0,615000.0,No
283,47,7,15,60,,329000.0,No
284,42,3,13,25,,347000.0,
285,28,2,12,12,22550.0,,No
286,26,2,11,8,14900.0,,No
287,22,2,11,43,13200.0,,No
288,39,4,13,26,28200.0,88000.0,No
289,40,2,10,35,29950.0,109000.0,Yes
290,69,2,18,24,,515000.0,No
291,33,3,11,46,20150.0,105000.0,No
292,32,3,10,50,17750.0,150000.0,No
293,24,6,11,34,31000.0,139000.0,Yes
294,27,5,10,38,19300.0,,No
295,54,5,17,23,,341000.0,Yes
296,40,6,14,56,65900.0,95000.0,No
297,52,1,13,26,23150.0,1000000.0,Yes
298,26,5,10,16,24600.0,,No
299,59,6,16,63,62600.0,616000.0,Yes
300,35,2,11,50,27550.0,106000.0,Yes
301,24,4,9,30,,,Yes
302,66,7,12,41,43700.0,417000.0,Yes
303,39,2,14,6,,289000.0,No
304,37,3,10,37,27400.0,326000.0,No
305,24,3,9,45,,,No
306,50,1,15,51,25500.0,450000.0,No
307,35,3,14,29,,152000.0,Yes
308,33,4,10,26,26050.0,221000.0,
309,55,1,13,44,,350000.0,Yes
310,54,7,16,27,,455000.0,No
311,29,1,12,32,,175000.0,
312,28,4,11,11,17600.0,,Yes
313,33,2,12,57,14550.0,391000.0,
314,60,1,16,35,,1089000.0,No
315,35,2,10,36,22300.0,504000.0,
316,42,1,11,55,26150.0,342000.0,Yes
317,28,2,14,45,11900.0,64000.0,Yes
318,30,7,15,24,59450.0,130000.0,Yes
319,54,3,16,12,44450.0,443000.0,Yes
320,59,1,14,49,29950.0,424000.0,Yes
321,64,5,14,15,31300.0,444000.0,No
322,49,2,14,34,22600.0,247000.0,No
323,35,4,15,33,43950.0,240000.0,No
324,43,1,16,21,27550.0,483000.0,No
325,29,3,12,47,22500.0,225000.0,No
326,33,3,13,45,22200.0,245000.0,No
327,45,3,11,49,24050.0,347000.0,No
328,60,4,15,20,,240000.0,No
329,34,2,15,40,31950.0,202000.0,No
330,39,4,13,34,39450.0,66000.0,Yes
331,23,3,12,35,,150000.0,No
332,24,6,13,37,27100.0,81000.0,Yes
333,48,2,15,17,35600.0,478000.0,No
334,69,4,16,34,95550.0,746000.0,Yes
335,50,5,13,8,,309000.0,No
336,23,4,7,16,26300.0,,Yes
337,50,3,12,28,,378000.0,No
338,27,3,11,20,11300.0,308000.0,No
339,55,3,16,45,,628000.0,
340,44,2,14,21,,254000.0,No
341,39,1,15,79,8250.0,675000.0,No
342,32,6,10,38,,108000.0,No
343,30,6,8,29,36250.0,89000.0,No
344,38,3,14,22,31250.0,669000.0,No
345,44,3,17,36,37700.0,455000.0,No
346,49,3,14,23,21900.0,244000.0,Yes
347,55,5,13,46,,200000.0,Yes
348,68,2,18,30,,2071000.0,Yes
349,23,3,14,56,47100.0,,Yes
350,67,3,13,11,46350.0,503000.0,
351,49,2,13,17,31000.0,254000.0,No
352,25,3,13,28,27200.0,214000.0,No
353,64,2,16,49,31450.0,737000.0,
354,63,4,14,22,42300.0,588000.0,No
355,36,2,12,80,27700.0,,
356,30,1,10,32,17950.0,,No
357,36,4,10,61,21800.0,,No
358,61,4,16,55,,550000.0,No
359,67,3,13,50,31850.0,661000.0,Yes
360,36,5,12,21,27750.0,190000.0,No
361,45,3,12,99,41300.0,293000.0,No
362,57,4,15,55,38700.0,933000.0,No
363,30,5,11,13,,76000.0,Yes
364,57,4,14,19,,390000.0,No
365,33,3,9,80,,100000.0,Yes
366,63,4,16,40,66600.0,1440000.0,Yes
367,28,7,11,39,,144000.0,No
368,70,6,14,37,,,Yes
369,57,4,15,68,50350.0,221000.0,No
370,35,5,14,62,18350.0,250000.0,No
371,61,2,18,51,72800.0,1479000.0,No
372,52,2,14,17,48900.0,595000.0,Yes
373,45,5,14,106,,,No
374,58,3,13,15,,337000.0,No
375,55,1,13,8,,370000.0,No
376,25,4,14,75,30500.0,100000.0,No
377,33,4,11,19,36000.0,117000.0,No
378,54,3,18,23,88950.0,227000.0,No
379,41,3,11,43,28450.0,140000.0,Yes
380,37,4,12,23,58950.0,,No
381,48,1,13,23,37050.0,,
382,29,4,11,28,38900.0,278000.0,No
383,70,3,15,45,54450.0,2154000.0,No
384,48,4,13,31,,170000.0,Yes
385,22,3,11,59,37350.0,71000.0,No
386,44,2,13,80,22950.0,,Yes
387,58,5,17,33,41100.0,308000.0,No
388,50,5,19,18,112200.0,531000.0,No
389,46,3,15,16,18850.0,180000.0,No
390,53,3,15,21,52800.0,725000.0,Yes
391,23,3,9,15,14250.0,121000.0,Yes
392,46,3,12,51,28600.0,264000.0,Yes
393,41,2,10,38,13100.0,632000.0,Yes
394,66,4,17,40,56850.0,1173000.0,Yes
395,50,4,11,37,22850.0,208000.0,Yes
396,30,2,13,25,20650.0,154000.0,Yes
397,63,5,14,34,63400.0,883000.0,No
398,36,3,13,34,16850.0,125000.0,No
399,70,3,17,11,,552000.0,Yes
400,39,3,9,48,,256000.0,Yes
401,63,3,14,75,,908000.0,Yes
402,59,2,16,43,34800.0,451000.0,No
403,57,4,16,72,38400.0,1385000.0,Yes
404,53,2,16,16,,427000.0,No
405,23,6,11,65,,119000.0,Yes
406,32,5,12,44,,154000.0,No
407,64,3,19,43,,577000.0,No
408,58,5,15,43,35500.0,389000.0,No
409,44,3,15,29,,,No
410,59,4,14,34,,789000.0,Yes
411,54,2,11,31,29500.0,410000.0,Yes
412,59,1,16,12,37550.0,1322000.0,Yes
413,48,4,15,30,55500.0,200000.0,No
414,25,2,13,39,35250.0,128000.0,No
415,41,3,11,62,29000.0,96000.0,Yes
416,32,4,11,70,17750.0,,No
417,64,3,11,58,38850.0,791000.0,Yes
418,65,1,17,26,46600.0,1418000.0,No
419,31,5,14,51,,275000.0,No
420,65,3,14,10,56600.0,1189000.0,Yes
421,38,7,12,38,32150.0,128000.0,No
422,32,5,12,47,51150.0,,No
423,35,4,16,14,,448000.0,Yes
424,49,5,16,47,28700.0,350000.0,No
425,33,3,15,15,27300.0,1137000.0,No
426,34,5,12,45,,364000.0,No
427,56,3,14,26,,664000.0,No
428,42,4,15,21,57650.0,286000.0,Yes
429,56,1,11,44,20050.0,417000.0,No
430,23,4,12,22,13700.0,,Yes
431,26,2,9,97,21300.0,80000.0,Yes
432,35,4,14,57,26300.0,172000.0,No
433,39,4,14,94,28800.0,,Yes
434,35,4,11,59,34050.0,121000.0,No
435,41,4,14,13,24750.0,405000.0,Yes
436,67,3,13,33,,387000.0,Yes
437,44,5,11,21,,,No
438,50,3,13,32,41750.0,288000.0,No
439,60,1,13,23,,709000.0,Yes
440,30,7,14,47,30250.0,,Yes
441,29,2,16,27,12400.0,162000.0,Yes
442,42,2,13,22,,,Yes
443,52,5,14,29,32550.0,274000.0,No
444,46,1,15,23,33450.0,623000.0,No
445,27,3,11,67,17750.0,170000.0,No
446,53,4,15,23,47150.0,708000.0,No
447,67,3,12,49,34850.0,353000.0,Yes
448,48,5,12,41,42650.0,263000.0,No
449,66,7,12,48,,378000.0,Yes
450,42,5,9,15,23700.0,125000.0,Yes
451,41,1,15,23,29350.0,422000.0,Yes
452,37,2,12,61,35850.0,223000.0,Yes
453,47,5,17,48,54700.0,185000.0,Yes
454,50,1,17,29,25950.0,1436000.0,No
455,27,4,12,26,19400.0,269000.0,Yes
456,69,2,15,20,47450.0,487000.0,No
457,29,4,10,22,15450.0,143000.0,No
458,49,3,9,55,,,No
459,37,4,12,30,52450.0,260000.0,No
460,65,3,15,37,,467000.0,No
461,53,4,13,36,,178000.0,Yes
462,22,3,9,32,,111000.0,Yes
463,23,3,11,45,17650.0,,Yes
464,31,4,11,18,20350.0,,Yes
465,62,4,15,30,74000.0,438000.0,No
466,64,3,13,72,,327000.0,Yes
467,48,4,18,53,35000.0,95000.0,No
468,49,2,15,58,46450.0,741000.0,No
469,53,3,14,37,61850.0,492000.0,Yes
470,45,1,12,26,,103000.0,No
471,47,4,12,41,31400.0,135000.0,No
472,40,7,15,41,49300.0,135000.0,No
473,46,6,13,31,67150.0,400000.0,No
474,36,3,13,25,16100.0,284000.0,Yes
475,58,1,16,17,,1156000.0,No
476,55,2,13,19,26450.0,584000.0,No
477,57,4,15,16,35350.0,449000.0,Yes
478,39,3,9,59,21500.0,,No
479,41,7,11,41,50750.0,153000.0,Yes
480,43,5,9,53,37200.0,,Yes
481,51,2,13,39,,,No
482,60,2,14,67,32150.0,753000.0,No
483,22,6,15,62,32100.0,,
484,68,4,14,22,63400.0,284000.0,No
485,64,1,16,38,61750.0,826000.0,No
486,70,5,17,43,,1430000.0,No
487,35,4,15,26,31300.0,,Yes
488,45,3,14,33,,246000.0,
489,48,4,15,35,44350.0,242000.0,Yes
490,28,1,15,41,12300.0,129000.0,Yes
491,39,6,9,35,,,No
492,23,2,10,35,16200.0,,Yes
493,27,4,11,21,16000.0,165000.0,No
494,46,2,13,37,30650.0,345000.0,No
495,37,4,11,57,20850.0,243000.0,No
496,25,7,14,70,17050.0,,Yes
497,62,2,14,13,31100.0,693000.0,No
498,27,1,10,34,21450.0,,No
499,33,1,13,20,,278000.0,Yes
500,33,4,11,28,29700.0,211000.0,Yes
