date,station,entries,exits,fare_collected
2025-01-12,Egmore,10343,10068,225795.91
2025-01-12,Nehru Park,3341,3390,69855.23
2025-01-12,CMBT,10555,10270,344039.88
2025-01-12,Koyambedu,7341,7440,236354.4
2025-01-12,Arumbakkam,3706,3639,119798.43
2025-01-12,Vadapalani,6384,7037,206641.68
2025-01-12,Ashok Nagar,4467,4605,191661.11
2025-01-12,Ekkattuthangal,2685,2658,117348.92
2025-01-12,St Thomas Mount,3994,3784,177095.61
2025-01-13,Washermanpet,4762,4878,104096.26
2025-01-13,Chennai Central,22969,23174,477422.94
2025-01-13,Government Estate,3653,3459,85440.04
2025-01-13,Thousand Lights,6597,7086,134908.87
2025-01-13,Teynampet,8839,9066,282388.04
2025-01-13,Saidapet,8276,8128,254248.75
2025-01-13,Guindy,14490,14201,469743.62
2025-01-13,Alandur,17101,17609,779995.03
2025-01-13,Airport,11420,10640,493366.45
2025-01-13,Egmore,12611,12559,280147.72
2025-01-13,Nehru Park,5641,6130,128927.77
2025-01-13,CMBT,16902,16226,549889.46
2025-01-13,Koyambedu,10960,11448,355760.06
2025-01-13,Arumbakkam,7261,7583,239502.12
2025-01-13,Vadapalani,11385,10402,360450.14
2025-01-13,Ashok Nagar,6312,6073,275160.69
2025-01-13,Ekkattuthangal,4962,5258,222524.08
2025-01-13,St Thomas Mount,7898,7526,343331.67
2025-01-14,Washermanpet,5256,5036,113496.45
2025-01-14,Chennai Central,26092,25498,570459.56
2025-01-14,Government Estate,3339,3188,72057.1
2025-01-14,Thousand Lights,6484,6548,151192.55
2025-01-14,Teynampet,7230,6909,233313.55
2025-01-14,Saidapet,7962,7441,242642.51
2025-01-14,Guindy,13249,13978,422975.96
2025-01-14,Alandur,15147,14668,664855.21
2025-01-14,Airport,13238,14061,607816.1
2025-01-14,Egmore,15861,15529,357642.07
2025-01-14,Nehru Park,5869,5996,125993.71
2025-01-14,CMBT,17370,18563,576427.4
2025-01-14,Koyambedu,12191,10750,387261.53
2025-01-14,Arumbakkam,6170,6133,198488.82
2025-01-14,Vadapalani,10908,10871,344583.6
2025-01-14,Ashok Nagar,7815,7733,354519.35
2025-01-14,Ekkattuthangal,4976,5077,210623.96
2025-01-14,St Thomas Mount,6383,6722,292291.53
2025-01-15,Washermanpet,5849,5910,137006.71
2025-01-15,Chennai Central,23071,22612,527479.61
2025-01-15,Government Estate,3442,3516,78515.33
2025-01-15,Thousand Lights,7854,7956,178609.49
2025-01-15,Teynampet,6581,7117,216170.03
2025-01-15,Saidapet,7940,7777,261591.52
2025-01-15,Guindy,13130,12392,433960.5
2025-01-15,Alandur,17010,17311,705079.26
2025-01-15,Airport,13409,13484,564331.47
2025-01-15,Egmore,12613,12325,286800.74
2025-01-15,Nehru Park,6190,5755,132717.94
2025-01-15,CMBT,16803,16933,543054.47
2025-01-15,Koyambedu,11962,12004,380667.8
2025-01-15,Arumbakkam,6066,6188,202958.84
2025-01-15,Vadapalani,9329,9572,297519.12
2025-01-15,Ashok Nagar,7415,7824,342602.65
2025-01-15,Ekkattuthangal,3979,4040,182182.2
2025-01-15,St Thomas Mount,5869,5916,255013.68
2025-01-16,Washermanpet,5442,5701,116971.25
2025-01-16,Chennai Central,21075,19789,458179.22
2025-01-16,Government Estate,3791,3991,83729.42
2025-01-16,Thousand Lights,7548,7593,163198.96
2025-01-16,Teynampet,6693,7148,208520.82
2025-01-16,Saidapet,7950,7857,249225.11
2025-01-16,Guindy,14838,14881,489910.71
2025-01-16,Alandur,15881,16152,729197.68
2025-01-16,Airport,11210,11752,493374.58
2025-01-16,Egmore,15278,15218,333975.65
2025-01-16,Nehru Park,5474,5381,113405.38
2025-01-16,CMBT,14578,14876,461256.04
2025-01-16,Koyambedu,11900,12453,390663.27
2025-01-16,Arumbakkam,4756,4830,158528.25
2025-01-16,Vadapalani,9757,9470,328604.76
2025-01-16,Ashok Nagar,5853,6248,259064.48
2025-01-16,Ekkattuthangal,4667,4963,196913.5
2025-01-16,St Thomas Mount,7065,6992,302595.36
2025-01-17,Washermanpet,5325,5060,113529.64
2025-01-17,Chennai Central,23145,22926,515234.04
2025-01-17,Government Estate,3602,3531,79076.0
2025-01-17,Thousand Lights,7875,7806,164942.21
2025-01-17,Teynampet,7046,6775,229950.41
2025-01-17,Saidapet,8788,9467,271094.99
2025-01-17,Guindy,12405,12161,401297.19
2025-01-17,Alandur,18228,18179,819563.56
2025-01-17,Airport,10828,10241,478637.46
2025-01-17,Egmore,13274,13317,313785.6
2025-01-17,Nehru Park,5523,5783,120052.09
2025-01-17,CMBT,18079,17971,586970.74
2025-01-17,Koyambedu,9777,9626,322487.1
2025-01-17,Arumbakkam,5803,6116,190957.12
2025-01-17,Vadapalani,8972,9234,291784.22
2025-01-17,Ashok Nagar,5930,5632,266965.16
2025-01-17,Ekkattuthangal,4412,4801,199715.59
2025-01-17,St Thomas Mount,6467,6425,270593.52
2025-01-18,Washermanpet,3119,3110,67571.1
2025-01-18,Chennai Central,9264,10013,194662.34
2025-01-18,Government Estate,2288,2193,51928.99
2025-01-18,Thousand Lights,5179,5224,115589.01
2025-01-18,Teynampet,4116,4164,132621.6
2025-01-18,Saidapet,5692,5775,177678.92
2025-01-18,Guindy,7572,7745,245802.64
2025-01-18,Alandur,11642,10613,524462.41
2025-01-18,Airport,6878,6761,319543.13
2025-01-18,Egmore,9872,10114,221517.34
2025-01-18,Nehru Park,3926,3881,84719.7
2025-01-18,CMBT,10017,9353,329980.92
2025-01-18,Koyambedu,6438,6386,198549.84
2025-01-18,Arumbakkam,3411,3477,114200.21
2025-01-18,Vadapalani,5016,4838,154518.21
2025-01-18,Ashok Nagar,4730,5160,216800.62
2025-01-18,Ekkattuthangal,3025,3021,128115.06
2025-01-18,St Thomas Mount,3983,4036,172648.15
2025-01-19,Washermanpet,3510,3522,76893.94
2025-01-19,Chennai Central,15206,14390,332874.42
2025-01-19,Government Estate,2356,2180,52117.26
2025-01-19,Thousand Lights,5743,5992,124530.37
2025-01-19,Teynampet,4413,4546,133280.39
2025-01-19,Saidapet,5025,5303,160736.51
2025-01-19,Guindy,7415,8004,231352.75
2025-01-19,Alandur,10343,10252,452914.5
2025-01-19,Airport,8210,8718,361906.07
2025-01-19,Egmore,7501,7705,168158.15
2025-01-19,Nehru Park,3577,3597,77854.58
2025-01-19,CMBT,10297,10156,331408.02
2025-01-19,Koyambedu,7697,7845,249415.82
2025-01-19,Arumbakkam,3455,3413,110729.06
2025-01-19,Vadapalani,5535,5434,178879.11
2025-01-19,Ashok Nagar,4403,4272,183496.5
2025-01-19,Ekkattuthangal,2605,2507,108851.78
2025-01-19,St Thomas Mount,4306,4163,186290.49
2025-01-20,Washermanpet,5449,5582,117981.08
2025-01-20,Chennai Central,22974,23584,495143.31
2025-01-20,Government Estate,3423,3305,74857.39
2025-01-20,Thousand Lights,8096,7340,182101.84
2025-01-20,Teynampet,7059,6907,234886.91
2025-01-20,Saidapet,10318,9419,308947.0
2025-01-20,Guindy,14513,15267,457812.26
2025-01-20,Alandur,20258,20256,841113.51
2025-01-20,Airport,11453,12003,530617.83
2025-01-20,Egmore,13284,13249,291536.93
2025-01-20,Nehru Park,4672,5249,102558.7
2025-01-20,CMBT,14968,16050,461096.64
2025-01-20,Koyambedu,10012,10370,332194.8
2025-01-20,Arumbakkam,5112,5004,167797.08
2025-01-20,Vadapalani,9035,9763,294828.21
2025-01-20,Ashok Nagar,7713,7023,343467.05
2025-01-20,Ekkattuthangal,4871,4661,208346.07
2025-01-20,St Thomas Mount,6138,6209,255310.01
2025-01-21,Washermanpet,5247,5145,111573.85
2025-01-21,Chennai Central,24009,24009,508769.49
2025-01-21,Government Estate,3419,3576,70882.19
2025-01-21,Thousand Lights,6963,6798,154727.19
2025-01-21,Teynampet,7622,7897,259163.04
2025-01-21,Saidapet,9667,9838,302870.49
2025-01-21,Guindy,13151,13171,436404.13
2025-01-21,Alandur,15218,15425,669086.45
2025-01-21,Airport,12607,12704,555152.88
2025-01-21,Egmore,13827,14624,298984.96
2025-01-21,Nehru Park,4782,4629,108414.96
2025-01-21,CMBT,17482,17424,565749.55
2025-01-21,Koyambedu,11205,10567,341382.65
2025-01-21,Arumbakkam,5961,6611,194471.09
2025-01-21,Vadapalani,9272,9640,298861.69
2025-01-21,Ashok Nagar,7728,7577,344117.33
2025-01-21,Ekkattuthangal,5026,4516,218645.84
2025-01-21,St Thomas Mount,7246,7181,348377.13
2025-01-22,Washermanpet,4008,4086,87216.61
2025-01-22,Chennai Central,23325,23878,489078.34
2025-01-22,Government Estate,3993,3939,87240.88
2025-01-22,Thousand Lights,8633,8461,195138.85
2025-01-22,Teynampet,7260,7190,240343.14
2025-01-22,Saidapet,9010,8641,280176.3
2025-01-22,Guindy,13758,13080,432604.87
2025-01-22,Alandur,16834,16841,727047.19
2025-01-22,Airport,9947,10014,439982.77
2025-01-22,Egmore,13749,14532,292280.99
2025-01-22,Nehru Park,6147,6466,135111.42
2025-01-22,CMBT,18103,17675,582071.19
2025-01-22,Koyambedu,11138,11424,373157.97
2025-01-22,Arumbakkam,6026,5814,185352.96
2025-01-22,Vadapalani,10461,10159,328249.05
2025-01-22,Ashok Nagar,7350,7277,319084.05
2025-01-22,Ekkattuthangal,4870,5186,209375.18
2025-01-22,St Thomas Mount,6945,7078,293316.65
2025-01-23,Washermanpet,4723,4738,104447.64
2025-01-23,Chennai Central,23388,23839,519602.67
2025-01-23,Government Estate,3258,3040,77142.65
2025-01-23,Thousand Lights,8644,8880,192764.59
2025-01-23,Teynampet,7263,7762,232542.29
2025-01-23,Saidapet,8980,9334,296999.66
2025-01-23,Guindy,12963,14158,391418.28
2025-01-23,Alandur,15747,16804,686862.21
2025-01-23,Airport,10680,10628,465506.49
2025-01-23,Egmore,11462,11906,243726.23
2025-01-23,Nehru Park,5385,5731,113668.57
2025-01-23,CMBT,17405,18349,547966.26
2025-01-23,Koyambedu,10392,9811,331592.88
2025-01-23,Arumbakkam,5435,5319,175466.07
2025-01-23,Vadapalani,9549,9772,323506.48
2025-01-23,Ashok Nagar,6955,7126,319943.42
2025-01-23,Ekkattuthangal,5169,4895,212360.13
2025-01-23,St Thomas Mount,5962,6494,260728.22
2025-01-24,Washermanpet,5641,5348,117299.37
2025-01-24,Chennai Central,17900,17173,387807.5
2025-01-24,Government Estate,3623,3755,78887.82
2025-01-24,Thousand Lights,7364,7418,161098.37
2025-01-24,Teynampet,7864,7124,243133.83
2025-01-24,Saidapet,8605,7567,275645.03
2025-01-24,Guindy,12967,12680,409559.29
2025-01-24,Alandur,17398,17642,782148.39
2025-01-24,Airport,10564,11748,457154.61
2025-01-24,Egmore,14117,14629,328700.9
2025-01-24,Nehru Park,5291,5540,113899.82
2025-01-24,CMBT,17888,16876,560304.34
2025-01-24,Koyambedu,10456,9940,322442.29
2025-01-24,Arumbakkam,6090,6201,190503.45
2025-01-24,Vadapalani,9603,9883,305072.3
2025-01-24,Ashok Nagar,7099,6479,315504.21
2025-01-24,Ekkattuthangal,4131,4030,177301.01
2025-01-24,St Thomas Mount,6038,5693,272105.81
2025-01-25,Washermanpet,2669,2565,58174.23
2025-01-25,Chennai Central,13985,14603,315454.36
2025-01-25,Government Estate,2075,2080,44825.28
2025-01-25,Thousand Lights,4839,4927,104876.89
2025-01-25,Teynampet,4020,4052,118335.95
2025-01-25,Saidapet,5999,6147,191635.19
2025-01-25,Guindy,7591,7483,246124.25
2025-01-25,Alandur,11671,11886,495692.12
2025-01-25,Airport,8268,8141,376911.06
2025-01-25,Egmore,9128,9714,205512.66
2025-01-25,Nehru Park,3702,3872,82231.38
2025-01-25,CMBT,10246,11347,311680.51
2025-01-25,Koyambedu,6606,6483,213285.82
2025-01-25,Arumbakkam,3677,3444,115262.57
2025-01-25,Vadapalani,6528,6322,204734.52
2025-01-25,Ashok Nagar,4797,4901,198387.47
2025-01-25,Ekkattuthangal,2727,2712,115774.56
2025-01-25,St Thomas Mount,3574,3562,159162.64
2025-01-26,Washermanpet,2722,2680,60912.01
2025-01-26,Chennai Central,11578,10234,253437.0
2025-01-26,Government Estate,2687,2683,58778.24
2025-01-26,Thousand Lights,4828,4447,108064.39
2025-01-26,Teynampet,4556,4616,148668.32
2025-01-26,Saidapet,5138,4934,163320.46
2025-01-26,Guindy,8038,8289,251494.84
2025-01-26,Alandur,11420,11395,500783.11
2025-01-26,Airport,7292,7185,318578.0
2025-01-26,Egmore,9726,9528,221495.3
2025-01-26,Nehru Park,3239,3067,69817.6
2025-01-26,CMBT,9214,9251,295489.47
2025-01-26,Koyambedu,5996,6281,187225.15
2025-01-26,Arumbakkam,4154,4335,123788.66
2025-01-26,Vadapalani,5676,5919,178207.97
2025-01-26,Ashok Nagar,4436,4479,200115.44
2025-01-26,Ekkattuthangal,3181,2964,138857.36
2025-01-26,St Thomas Mount,4076,3955,167718.21
2025-01-27,Washermanpet,4657,4908,101639.47
2025-01-27,Chennai Central,20443,21183,459011.61
2025-01-27,Government Estate,3477,3647,76402.92
2025-01-27,Thousand Lights,7863,7443,166260.4
2025-01-27,Teynampet,8057,7122,260237.42
2025-01-27,Saidapet,9538,9388,293879.17
2025-01-27,Guindy,11933,11047,371978.47
2025-01-27,Alandur,17284,18435,750017.23
2025-01-27,Airport,11147,10149,492803.93
2025-01-27,Egmore,15161,13977,352984.24
2025-01-27,Nehru Park,5942,6642,129252.33
2025-01-27,CMBT,17969,18951,584273.71
2025-01-27,Koyambedu,11050,10354,366345.27
2025-01-27,Arumbakkam,5682,6087,174087.51
2025-01-27,Vadapalani,9812,9844,300332.53
2025-01-27,Ashok Nagar,7293,7942,330850.18
2025-01-27,Ekkattuthangal,5040,4962,216846.99
2025-01-27,St Thomas Mount,6162,6036,277037.52
2025-01-28,Washermanpet,5710,5493,122251.49
2025-01-28,Chennai Central,22346,23309,480860.5
2025-01-28,Government Estate,3724,3956,76937.35
2025-01-28,Thousand Lights,7555,7017,161988.3
2025-01-28,Teynampet,8573,8368,271882.01
2025-01-28,Saidapet,9180,10233,292041.86
2025-01-28,Guindy,10973,10724,349773.06
2025-01-28,Alandur,18291,17456,801218.94
2025-01-28,Airport,11835,12392,553758.8
2025-01-28,Egmore,13211,13394,285780.31
2025-01-28,Nehru Park,5116,5271,108076.74
2025-01-28,CMBT,16742,16338,521872.47
2025-01-28,Koyambedu,10840,10979,348207.19
2025-01-28,Arumbakkam,5893,5873,173539.06
2025-01-28,Vadapalani,9045,8611,269777.41
2025-01-28,Ashok Nagar,5836,6172,248626.88
2025-01-28,Ekkattuthangal,4593,4790,193809.78
2025-01-28,St Thomas Mount,6383,6631,275242.51
2025-01-29,Washermanpet,5352,5334,119609.84
2025-01-29,Chennai Central,23636,22405,519573.74
2025-01-29,Government Estate,3916,4028,84551.45
2025-01-29,Thousand Lights,7914,7812,171068.98
2025-01-29,Teynampet,7166,7841,220840.5
2025-01-29,Saidapet,7034,7441,218924.25
2025-01-29,Guindy,13733,14382,438856.05
2025-01-29,Alandur,20053,18724,895374.67
2025-01-29,Airport,11652,12157,507419.5
2025-01-29,Egmore,15030,15440,319125.4
2025-01-29,Nehru Park,5066,5133,114099.21
2025-01-29,CMBT,17520,18485,564907.06
2025-01-29,Koyambedu,9535,10309,298301.09
2025-01-29,Arumbakkam,6310,6064,195988.17
2025-01-29,Vadapalani,10117,9344,327160.12
2025-01-29,Ashok Nagar,6031,6057,248955.37
2025-01-29,Ekkattuthangal,3918,4014,162661.21
2025-01-29,St Thomas Mount,6169,6183,283213.61
2025-01-30,Washermanpet,5260,5342,115731.27
2025-01-30,Chennai Central,21667,21971,462143.62
2025-01-30,Government Estate,4290,4026,91421.0
2025-01-30,Thousand Lights,6968,6705,152911.83
2025-01-30,Teynampet,7800,7244,244987.23
2025-01-30,Saidapet,7684,7451,239966.06
2025-01-30,Guindy,12164,11810,375706.39
2025-01-30,Alandur,15502,15238,710120.19
2025-01-30,Airport,10614,11643,498398.85
2025-01-30,Egmore,14018,14432,304924.03
2025-01-30,Nehru Park,5541,5633,130199.88
2025-01-30,CMBT,17079,18298,548698.06
2025-01-30,Koyambedu,11589,10411,370402.55
2025-01-30,Arumbakkam,5974,5794,190037.97
2025-01-30,Vadapalani,9414,9662,305086.49
2025-01-30,Ashok Nagar,7267,7216,319123.87
2025-01-30,Ekkattuthangal,5067,5096,223934.7
2025-01-30,St Thomas Mount,6506,6063,282283.35
2025-01-31,Washermanpet,4629,4828,102419.43
2025-01-31,Chennai Central,23334,22658,513499.24
2025-01-31,Government Estate,4098,4053,88855.23
2025-01-31,Thousand Lights,7492,7570,167642.92
2025-01-31,Teynampet,7108,6827,240639.3
2025-01-31,Saidapet,9543,9342,311399.03
2025-01-31,Guindy,14813,14710,468993.11
2025-01-31,Alandur,18202,17206,784114.12
2025-01-31,Airport,10981,11328,509513.66
2025-01-31,Egmore,16150,16453,348171.52
2025-01-31,Nehru Park,5649,5384,122136.28
2025-01-31,CMBT,14934,14404,465260.91
2025-01-31,Koyambedu,10718,10651,338909.97
2025-01-31,Arumbakkam,6109,6301,187240.92
2025-01-31,Vadapalani,10424,10784,333455.81
2025-01-31,Ashok Nagar,7494,8094,312208.82
2025-01-31,Ekkattuthangal,4482,4718,186085.97
2025-01-31,St Thomas Mount,6672,6387,285695.44
2025-02-01,Washermanpet,3484,3461,76838.15
2025-02-01,Chennai Central,16396,16543,355672.88
2025-02-01,Government Estate,2185,1933,48013.41
2025-02-01,Thousand Lights,5007,5123,106321.84
2025-02-01,Teynampet,5438,5668,178070.31
2025-02-01,Saidapet,5626,5427,175456.65
2025-02-01,Guindy,8474,8471,257227.08
