id,age,education_years,income,health_score,gender
134,41,14,158300.0,87.0,Female
135,48,15,110500.0,74.0,Female
136,39,14,150000.0,84.0,Female
137,21,10,,,Male
138,26,9,39300.0,,Male
139,33,12,74100.0,,Male
140,20,13,64800.0,97.0,Female
141,28,9,,80.0,Male
142,32,10,52400.0,,Male
143,61,18,265200.0,,Female
144,25,11,118100.0,,Male
145,23,17,48400.0,100.0,Male
146,60,17,264900.0,89.0,Female
147,32,12,52600.0,97.0,Male
148,24,11,38800.0,91.0,
149,46,12,116200.0,76.0,Female
150,45,12,121500.0,,Female
151,27,10,36500.0,,Male
152,37,12,86500.0,98.0,Female
153,64,17,364800.0,,Female
154,28,9,,,Female
155,35,12,84500.0,,Male
156,42,13,,78.0,Male
157,58,12,175400.0,,Female
158,35,11,,94.0,Female
159,45,11,106400.0,,Male
160,29,10,,,Male
161,54,14,219200.0,78.0,Female
162,41,14,57000.0,96.0,Female
163,63,16,402900.0,72.0,Male
164,49,13,146200.0,92.0,Female
165,47,14,106300.0,91.0,Female
166,21,12,31500.0,79.0,Female
167,53,10,142400.0,76.0,Female
168,42,15,278700.0,80.0,Female
169,26,11,69800.0,87.0,Male
170,62,15,214100.0,79.0,Male
171,54,16,134100.0,78.0,Female
172,63,15,190200.0,77.0,Male
173,55,11,,75.0,Male
174,50,15,185700.0,,Male
175,38,9,93700.0,,
176,23,11,97300.0,100.0,Male
177,48,10,70800.0,,Female
178,56,15,269300.0,,Male
179,31,13,,89.0,
180,39,11,59300.0,94.0,Female
181,26,15,79800.0,100.0,Female
182,38,12,70300.0,,
183,41,13,105500.0,81.0,Female
184,53,15,256900.0,80.0,Male
185,20,9,34400.0,100.0,Female
186,25,12,49200.0,87.0,Male
187,47,15,312600.0,76.0,Female
188,42,13,206800.0,73.0,Male
189,31,11,,100.0,Male
190,54,16,253200.0,92.0,Male
191,38,12,70400.0,100.0,Male
192,28,13,87600.0,,Male
193,53,12,52700.0,86.0,Male
194,22,10,39300.0,92.0,Male
195,62,17,373200.0,86.0,Female
196,42,13,114300.0,79.0,Female
197,21,8,,90.0,Female
198,32,16,109700.0,100.0,Female
199,24,15,35800.0,,Female
200,23,13,64800.0,88.0,
201,34,12,117200.0,,Male
202,45,16,129000.0,79.0,Male
203,35,13,64300.0,100.0,Male
204,59,13,217000.0,,Female
205,43,11,119800.0,82.0,Male
206,31,12,91700.0,82.0,Male
207,44,11,79900.0,,Female
208,62,14,129900.0,,Male
209,33,12,59100.0,95.0,Female
210,29,10,112300.0,91.0,Male
211,27,9,45800.0,95.0,Female
212,46,13,102300.0,85.0,Male
213,64,11,313000.0,77.0,Male
214,60,15,349900.0,73.0,Male
215,27,13,,100.0,Female
216,47,12,139800.0,69.0,Female
217,36,9,48000.0,,Male
218,31,14,69100.0,,Female
219,51,15,220000.0,80.0,Male
220,23,10,,100.0,Female
221,38,17,85100.0,100.0,Male
222,55,19,291600.0,88.0,Female
223,55,16,140100.0,,
224,23,11,,100.0,Male
225,36,12,121400.0,,Female
226,44,13,,86.0,Female
227,43,14,106600.0,88.0,Male
228,28,12,82400.0,87.0,Female
229,60,17,219000.0,,Male
230,19,12,,97.0,Female
231,63,16,287400.0,87.0,Female
232,61,19,219200.0,,Female
233,20,12,66600.0,97.0,Female
234,43,16,164900.0,87.0,Female
235,22,6,,,Female
236,26,8,,84.0,Female
237,37,11,39500.0,,Male
238,42,12,132500.0,82.0,Male
239,32,11,128000.0,,
240,64,18,363200.0,,Male
241,21,16,92800.0,89.0,Female
242,62,15,277300.0,,Male
243,21,16,,93.0,Male
244,48,13,,85.0,Male
245,19,9,,,Female
246,41,15,156100.0,,Male
247,26,14,,96.0,Male
248,26,11,107200.0,91.0,Male
249,46,15,108600.0,81.0,Female
250,33,11,81800.0,82.0,Female
251,60,13,126400.0,,Male
252,36,16,105800.0,83.0,Female
253,34,12,83800.0,,Female
254,22,9,37100.0,,Male
255,35,13,,,Male
256,19,10,41500.0,,Male
257,20,9,,96.0,Female
258,50,17,270700.0,,Male
259,28,12,,,Male
260,54,17,,,Male
261,28,11,,80.0,Female
262,36,13,74100.0,95.0,Male
263,43,11,,84.0,
264,22,15,49600.0,100.0,Male
265,51,15,190800.0,80.0,Male
266,53,17,271900.0,79.0,Female
267,53,13,177800.0,,
268,45,11,,,Male
269,32,13,,95.0,Male
270,21,10,49400.0,100.0,Female
271,23,10,50200.0,,
272,62,15,316600.0,75.0,Female
273,48,16,157800.0,85.0,Male
274,43,15,336200.0,78.0,Female
275,46,17,388200.0,,Male
276,41,19,156700.0,,Male
277,54,13,82300.0,,Male
278,45,14,,,Female
279,60,18,331200.0,,Male
280,60,17,202000.0,77.0,Female
281,56,14,198400.0,82.0,Female
282,27,9,,100.0,Male
283,35,11,61400.0,95.0,Male
284,18,10,63300.0,,Female
285,36,12,93900.0,83.0,
286,64,12,259500.0,,Male
287,42,15,140100.0,91.0,Male
288,59,13,178600.0,,Male
289,64,19,302800.0,,Female
290,31,10,86000.0,96.0,
291,18,13,,100.0,Female
292,65,20,803800.0,,Female
293,56,17,241500.0,74.0,Male
294,35,11,49600.0,,Female
295,42,14,,83.0,Female
296,18,9,25000.0,,Female
297,18,11,25400.0,98.0,Male
298,31,11,25900.0,89.0,Male
299,38,12,62400.0,93.0,Male
300,53,15,139700.0,,Female
301,32,10,,85.0,Female
302,18,8,48300.0,,Female
303,52,12,69700.0,,Male
304,30,13,104600.0,77.0,Female
305,64,17,278400.0,,Female
306,34,16,67100.0,84.0,Male
307,29,15,119500.0,100.0,Male
308,32,14,106600.0,,Male
309,43,14,131100.0,88.0,Male
310,18,15,,100.0,Male
311,40,11,58300.0,,Female
312,22,10,59400.0,90.0,Male
313,33,13,158500.0,100.0,
314,57,16,200500.0,80.0,Male
315,22,10,36400.0,91.0,Female
316,32,12,64800.0,90.0,Female
317,34,11,122100.0,88.0,Male
318,54,16,96500.0,,Female
319,23,9,55300.0,94.0,Male
320,64,15,283600.0,75.0,
321,50,13,68200.0,,Male
322,56,18,415100.0,97.0,Male
323,38,11,66100.0,71.0,Male
324,42,14,101100.0,,Male
325,18,12,68800.0,100.0,Female
326,54,20,558600.0,80.0,Male
327,46,17,91100.0,,Male
328,32,10,62200.0,90.0,
329,29,14,69600.0,91.0,Male
330,53,17,396100.0,,Male
331,50,14,109400.0,,Female
332,31,14,43800.0,,Female
333,52,16,191800.0,77.0,Male
334,26,13,83700.0,100.0,Female
335,46,13,90200.0,,Female
336,47,12,93600.0,,Female
337,58,13,204100.0,,Female
338,54,17,225100.0,,Male
339,49,16,142100.0,83.0,Female
340,31,12,44800.0,,Male
341,42,16,162300.0,83.0,Female
342,58,12,86400.0,,
343,46,14,115900.0,76.0,Male
344,50,9,57400.0,,Female
345,26,10,34900.0,85.0,Female
346,61,14,155100.0,81.0,Female
347,53,14,224200.0,78.0,Male
348,57,16,428600.0,,Male
349,41,14,144800.0,83.0,Female
350,61,14,113600.0,83.0,Female
351,61,15,263700.0,81.0,Male
352,51,16,104800.0,,Female
353,41,16,,,
354,52,16,134900.0,,Male
355,22,9,33300.0,92.0,Male
356,39,13,70500.0,,Female
357,20,13,100200.0,100.0,
358,52,16,204700.0,,Male
359,52,15,,,Female
360,28,12,99600.0,96.0,Male
361,54,10,114500.0,,
362,43,17,,89.0,Female
363,49,15,159800.0,81.0,Male
364,38,11,61500.0,93.0,Male
365,36,10,36300.0,83.0,Male
366,28,7,34500.0,98.0,Female
367,39,7,46600.0,,Male
368,19,11,,93.0,Female
369,58,12,397400.0,,Male
370,43,11,96400.0,86.0,Male
371,57,13,96900.0,80.0,Male
372,49,11,58500.0,75.0,Female
373,56,12,134500.0,74.0,Male
374,28,13,,88.0,
375,25,11,77800.0,100.0,Male
376,43,12,170400.0,,Male
377,43,15,108500.0,95.0,Male
378,62,15,180100.0,,Male
379,35,9,,83.0,Male
380,60,15,230000.0,86.0,Male
381,23,11,34200.0,82.0,Male
382,43,14,130100.0,75.0,Male
383,25,12,,,Male
384,22,15,73100.0,99.0,Female
385,24,12,,89.0,Female
386,56,13,140400.0,,Male
387,26,11,39700.0,80.0,Female
388,21,9,42000.0,91.0,Female
389,39,15,130300.0,81.0,Male
390,48,14,108600.0,,Female
391,29,9,,99.0,Male
392,44,16,145600.0,83.0,Female
393,59,18,316400.0,81.0,
394,29,12,84000.0,83.0,Male
395,62,20,412500.0,67.0,Male
396,44,14,,93.0,Male
397,64,12,136000.0,,Female
398,33,12,75100.0,78.0,Female
399,42,14,148700.0,,Male
400,64,15,196600.0,78.0,Male
